First Last  	Team  	Games  	  	Rec  	RecYds  	RecYPG  	RecAvg  	RecLng  	YAC  	Rec1stD  	RecTD  	 	KR  	KRYds  	KRAvg  	KRLong  	KRTD  	 	PR  	PRYds  	PRAvg  	PRLong  	PRTD  	 	Fum  	FumL
 Hank Baskett 	PHI 	4 	  	2  	16  	4.0  	8.0  	13  	0.0  	1  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Jerome Mathis 	HOU 	3 	  	1  	15  	5.0  	15.0  	15  	4.0  	1  	0  	 	11  	320  	29.1  	84  	1  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 Wallace Wright 	NYJ 	4 	  	1  	11  	2.8  	11.0  	11  	4.0  	0  	0  	 	1  	28  	28.0  	28  	0  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 James Thrash 	WAS 	4 	  	2  	11  	2.8  	5.5  	7  	5.0  	0  	0  	 	1  	20  	20.0  	20  	0  	 	2  	71  	35.5  	62  	0  	 	0  	0  	 
 Marques Hagans 	STL 	1 	  	1  	11  	11.0  	11.0  	11  	8.0  	1  	0  	 	1  	20  	20.0  	20  	0  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 Brandon Lloyd 	WAS 	4 	  	1  	9  	2.3  	9.0  	9  	9.0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 D.J. Hackett 	SEA 	1 	  	1  	7  	7.0  	7.0  	7  	2.0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Joshua Cribbs 	CLE 	5 	  	1  	7  	1.4  	7.0  	7  	13.0  	1  	0  	 	21  	667  	31.8  	99  	1  	 	4  	44  	11.0  	22  	0  	 	1  	0  	 
 Tab Perry 	CIN 	2 	  	1  	7  	3.5  	7.0  	7  	2.0  	1  	0  	 	7  	145  	20.7  	26  	0  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 Courtney Taylor 	SEA 	2 	  	1  	6  	3.0  	6.0  	6  	3.0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Dwayne Jarrett 	CAR 	1 	  	1  	6  	6.0  	6.0  	6  	1.0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Aaron Moorehead 	IND 	3 	  	1  	5  	1.7  	5.0  	5  	1.0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Devin Hester 	CHI 	5 	  	1  	3  	0.6  	3.0  	3  	6.0  	0  	0  	 	15  	363  	24.2  	97  	1  	 	16  	279  	17.4  	73  	1  	 	0  	0  	 
 Greg Lewis 	PHI 	4 	  	1  	2  	0.5  	2.0  	2  	0.0  	0  	0  	 	0  	0  	0.0  	0  	0  	 	4  	4  	1.0  	5  	0  	 	0  	0  	 
 Eddie Drummond 	KAN 	5 	  	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	16  	334  	20.9  	36  	0  	 	7  	59  	8.4  	22  	0  	 	0  	0  	 
 Eddie Kennison 	KAN 	2 	  	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Steve Breaston 	ARI 	5 	  	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	9  	225  	25.0  	36  	0  	 	14  	185  	13.2  	73  	1  	 	0  	0  	 
 Ashley Lelie 	SFO 	5 	  	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Sam Aiken 	BUF 	3 	  	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Yamon Figurs 	BAL 	4 	  	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	8  	247  	30.9  	61  	0  	 	6  	103  	17.2  	75  	1  	 	0  	0  	 
 Devard Darling 	BAL 	5 	  	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Brian Clark 	DEN 	1 	  	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	3  	70  	23.3  	26  	0  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 Miles Austin 	DAL 	5 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	1  	24  	24.0  	24  	0  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 Shaun Bodiford 	GNB 	2 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	1  	22  	22.0  	22  	0  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 Ryne Robinson 	CAR 	5 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	4  	81  	20.3  	25  	0  	 	7  	51  	7.3  	14  	0  	 	0  	0  	 
 Adam Jennings 	ATL 	5 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	6  	126  	21.0  	31  	0  	 	7  	27  	3.9  	18  	0  	 	0  	0  	 
 Johnnie Lee Higgins 	OAK 	4 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	0  	0  	0.0  	0  	0  	 	7  	16  	2.3  	6  	0  	 	0  	0  	 
 Brandon Middleton 	DET 	1 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	3  	70  	23.3  	30  	0  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 Michael Lewis 	SFO 	2 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	0  	0  	0.0  	0  	0  	 	11  	92  	8.4  	23  	0  	 	0  	0  	 
 Mark Jones 	TAM 	4 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	7  	209  	29.9  	36  	0  	 	9  	131  	14.6  	35  	0  	 	0  	0  	 
 Craphonso Thorpe 	IND 	1 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	3  	58  	19.3  	35  	0  	 	4  	36  	9.0  	29  	0  	 	0  	0  	 
 Brandon Williams 	SFO 	3 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	0  	0  	0.0  	0  	0  	 	5  	32  	6.4  	12  	0  	 	0  	0  	 
 Domenik Hixon 	DEN 	4 	  	0  	0  	0  	0  	0  	0  	0  	0  	 	12  	274  	22.8  	35  	0  	 	7  	32  	4.6  	14  	0  	 	0  	0  	
